Company Name,BB Symbol,ISIN,Sector,Data
ABB India Ltd.,ABB IN Equity,INE117A01022,Industrials,Yes
Aditya Birla Capital Ltd.,ABCAP IN Equity,INE674K01013,Financials,Yes
Aditya Birla Real Estate Limited.,ABREL IN Equity,INE055A01016,Real Estate,No
Aditya Birla Fashion and Retail Ltd.,ABFRL IN Equity,INE647O01011,Consumer Discretionary,Yes
ACC Ltd.,ACC IN Equity,INE012A01025,Materials,Yes
Ambuja Cements Ltd.,ACEM IN Equity,INE079A01024,Materials,Yes
Adani Power Ltd.,ADANI IN Equity,INE814H01011,Utilities,Yes
Adani Energy Solutions Ltd.,ADANIENS IN Equity,INE931S01010,Utilities,Yes
Adani Green Energy Ltd.,ADANIGR IN Equity,INE364U01010,Utilities,Yes
Adani Enterprises Ltd.,ADE IN Equity,INE423A01024,Industrials,Yes
Adani Ports & SEZ Ltd.,ADSEZ IN Equity,INE742F01042,Industrials,Yes
AIA Engineering Ltd.,AIAE IN Equity,INE212H01026,Industrials,Yes
Ajanta Pharma.,AJP IN Equity,INE031B01049,Health Care,Yes
Ashok Leyland Ltd.,AL IN Equity,INE208A01029,Industrials,Yes
Alkem Laboratories Ltd.,ALKEM IN Equity,INE540L01014,Health Care,Yes
Alembic Pharmaceuticals Limited.,ALPM IN Equity,INE901L01018,Health Care,Yes
APL Apollo Tubes Ltd.,APAT IN Equity,INE702C01027,Materials,Yes
Apollo Hospitals Enterprise Ltd.,APHS IN Equity,INE437A01024,Health Care,Yes
Asian Paints Ltd.,APNT IN Equity,INE021A01026,Materials,Yes
Apollo Tyres Ltd.,APTY IN Equity,INE438A01022,Consumer Discretionary,Yes
Aurobindo Pharma Ltd.,ARBP IN Equity,INE406A01037,Health Care,Yes
Amara Raja Energy & Mobility Ltd.,ARENM IN Equity,INE885A01032,Industrials,Yes
Aarti Industries Ltd.,ARTO IN Equity,INE769A01020,Materials,Yes
Astral Ltd.,ASTRA IN Equity,INE006I01046,Industrials,Yes
Adani Total Gas Ltd.,ATGL IN Equity,INE399L01023,Utilities,Yes
Atul Ltd.,ATLP IN Equity,INE100A01010,Materials,Yes
AU Small Finance Bank Ltd.,AUBANK IN Equity,INE949L01017,Financials,Yes
Axis Bank Ltd.,AXSB IN Equity,INE238A01034,Financials,Yes
Bajaj Finance Ltd.,BAF IN Equity,INE296A01024,Financials,Yes
Bandhan Bank Ltd.,BANDHAN IN Equity,INE545U01014,Financials,Yes
Bharat Dynamics Ltd.,BDL IN Equity,INE171Z01018,Industrials,Yes
Bharti Airtel Ltd.,BHARTI IN Equity,INE397D01024,Communication Services,Yes
Bharti Hexacom Ltd.,BHARTIHE IN Equity,INE054A01027,Telecommunications,No
Bharat Electronics Ltd.,BHE IN Equity,INE263A01024,Industrials,Yes
Bharat Heavy Electricals Ltd.,BHEL IN Equity,INE257A01026,Industrials,Yes
Bharat Forge Ltd.,BHFC IN Equity,INE465A01025,Consumer Discretionary,Yes
Balkrishna Industries Ltd.,BIL IN Equity,INE787D01026,Consumer Discretionary,Yes
