Date,Stock Name,Buy/Sell,BB Symbol
2018-04-01,Tata Steel Ltd,BUY,TATA IN Equity
2018-04-01,JSW Steel Ltd,BUY,JSTL IN Equity
2018-04-01,Mphasis,BUY,MPHL IN Equity
2018-04-01,Apollo Tyres Ltd.,BUY,APTY IN Equity
2018-04-01,Samvardhana Motherson International Ltd.,BUY,MOTHERSO IN Equity
2018-04-01,Coromandel International Ltd,BUY,CRIN IN Equity
2018-04-01,Reliance Industries,BUY,RELIANCE IN Equity
2018-04-01,Tata Consumer Products Ltd.,BUY,TATACONS IN Equity
2018-04-01,Ashok Leyland Ltd,BUY,AL IN Equity
2018-04-01,Tech Mahindra,BUY,TECHM IN Equity
2018-04-01,JSW Energy Ltd.,BUY,JSW IN Equity
2018-04-01,GAIL (India) Ltd.,BUY,GAIL IN Equity
2018-04-01,Prestige Estates Projects Ltd,BUY,PEPL IN Equity
2018-04-01,Gujarat State Petronet Ltd.,BUY,GUJS IN Equity
2018-04-01,Tata Chemicals Ltd,BUY,TTCH IN Equity
2018-04-01,Larsen & Toubro Ltd,BUY,LT IN Equity
2018-04-01,DIVIS laboratories Ltd.,BUY,DIVI IN Equity
2018-04-01,Mangalore Refinery and Petrochemicals,BUY,MRPL IN Equity
2018-04-01,Petronet LNG Ltd.,BUY,PLNG IN Equity
2018-04-01,Sammaan Capital Limited,BUY,SAMMAANC IN Equity
2018-04-01,WIPRO Ltd.,BUY,WPRO IN Equity
2018-04-01,Bajaj Holdings & Investment Ltd,BUY,BJHI IN Equity
2018-04-01,Piramal Enterprises Ltd.,BUY,PIEL IN Equity
2018-04-01,Maruti Suzuki,BUY,MSIL IN Equity
2018-04-01,Voltas Ltd.,BUY,VOLT IN Equity
2018-04-01,Container Corp of India Ltd,BUY,CCRI IN Equity
2018-04-01,Infosys,BUY,INFO IN Equity
2018-04-01,Tata Consultancy Services,BUY,TCS IN Equity
2018-04-01,TVS Motor Company Ltd.,BUY,TVSL IN Equity
2018-04-01,Mahindra & Mahindra Ltd.,BUY,MM IN Equity
2018-06-30,Samvardhana Motherson International Ltd.,SELL,MOTHERSO IN Equity
2018-06-30,Coromandel International Ltd,SELL,CRIN IN Equity
2018-06-30,Prestige Estates Projects Ltd,SELL,PEPL IN Equity
2018-06-30,Gujarat State Petronet Ltd.,SELL,GUJS IN Equity
2018-06-30,Mangalore Refinery and Petrochemicals,SELL,MRPL IN Equity
2018-06-30,Petronet LNG Ltd.,SELL,PLNG IN Equity
2018-06-30,WIPRO Ltd.,SELL,WPRO IN Equity
2018-06-30,Piramal Enterprises Ltd.,SELL,PIEL IN Equity
2018-06-30,Maruti Suzuki,SELL,MSIL IN Equity
2018-06-30,Voltas Ltd.,SELL,VOLT IN Equity
2018-06-30,Container Corp of India Ltd,SELL,CCRI IN Equity
2018-06-30,TVS Motor Company Ltd.,SELL,TVSL IN Equity
2018-07-01,Oil India Ltd,BUY,OINL IN Equity
2018-07-01,Oil & Natural Gas Corporation Ltd.,BUY,ONGC IN Equity
2018-07-01,M&M Financial Services Ltd,BUY,MMFS IN Equity
2018-07-01,SRF Ltd.,BUY,SRF IN Equity
2018-07-01,Coal India Limited,BUY,COAL IN Equity
2018-07-01,NMDC Ltd,BUY,NMDC IN Equity
2018-07-01,Abbott India Ltd.,BUY,BOOT IN Equity
2018-07-01,NTPC Limited,BUY,NTPC IN Equity
2018-07-01,YES Bank Ltd.,BUY,YES IN Equity
2018-07-01,Phoenix Mills Ltd.,BUY,PHNX IN Equity
2018-07-01,Bajaj Finserv Ltd,BUY,BJFIN IN Equity
2018-07-01,Pfizer Ltd.,BUY,PFIZ IN Equity
2018-09-30,Ashok Leyland Ltd,SELL,AL IN Equity
2018-09-30,Oil India Ltd,SELL,OINL IN Equity
2018-09-30,Bajaj Holdings & Investment Ltd,SELL,BJHI IN Equity
2018-09-30,DIVIS laboratories Ltd.,SELL,DIVI IN Equity
2018-09-30,JSW Energy Ltd.,SELL,JSW IN Equity
2018-09-30,Coal India Limited,SELL,COAL IN Equity
2018-09-30,Apollo Tyres Ltd.,SELL,APTY IN Equity
2018-09-30,Tata Steel Ltd,SELL,TATA IN Equity
2018-09-30,Sammaan Capital Limited,SELL,SAMMAANC IN Equity
2018-09-30,NMDC Ltd,SELL,NMDC IN Equity
2018-09-30,YES Bank Ltd.,SELL,YES IN Equity
2018-09-30,Phoenix Mills Ltd.,SELL,PHNX IN Equity
2018-09-30,Bajaj Finserv Ltd,SELL,BJFIN IN Equity
2018-10-01,Exide Industries Ltd.,BUY,EXID IN Equity
2018-10-01,Ipca Laboratories,BUY,IPCA IN Equity
