date,BB Symbol,Stock Name,Strat,factor_quantile,Wt
01-04-2018,AL IN Equity,Ashok Leyland Ltd.,Cons,Cons,0.03333333
01-04-2018,APTY IN Equity,Apollo Tyres Ltd.,Cons,Cons,0.03333333
01-04-2018,BJHI IN Equity,Bajaj Holdings & Investment Ltd.,Cons,Cons,0.03333333
01-04-2018,CCRI IN Equity,Container Corp of India Ltd.,Cons,Cons,0.03333333
01-04-2018,CRIN IN Equity,Coromandel International Ltd.,Cons,Cons,0.03333333
01-04-2018,DIVI IN Equity,DIVIS laboratories Ltd.,Cons,Cons,0.03333333
01-04-2018,GAIL IN Equity,GAIL (India) Ltd.,Cons,Cons,0.03333333
01-04-2018,GUJS IN Equity,Gujarat State Petronet Ltd.,Cons,Cons,0.03333333
01-04-2018,INFO IN Equity,Infosys,Cons,Cons,0.03333333
01-04-2018,JSTL IN Equity,JSW Steel Ltd.,Cons,Cons,0.03333333
01-04-2018,JSW IN Equity,JSW Energy Ltd.,Cons,Cons,0.03333333
01-04-2018,LT IN Equity,Larsen & Toubro Ltd.,Cons,Cons,0.03333333
01-04-2018,MM IN Equity,Mahindra & Mahindra Ltd.,Cons,Cons,0.03333333
01-04-2018,MOTHERSO IN Equity,Samvardhana Motherson International Ltd.,Cons,Cons,0.03333333
01-04-2018,MPHL IN Equity,Mphasis Ltd.,Cons,Cons,0.03333333
01-04-2018,MRPL IN Equity,Mangalore Refinery and Petrochemicals,Cons,Cons,0.03333333
01-04-2018,MSIL IN Equity,Maruti Suzuki India Ltd.,Cons,Cons,0.03333333
01-04-2018,PEPL IN Equity,Prestige Estates Projects Ltd,Cons,Cons,0.03333333
01-04-2018,PIEL IN Equity,Piramal Enterprises Ltd.,Cons,Cons,0.03333333
01-04-2018,PLNG IN Equity,Petronet LNG Ltd.,Cons,Cons,0.03333333
01-04-2018,RELIANCE IN Equity,Reliance Industries Ltd.,Cons,Cons,0.03333333
01-04-2018,SAMMAANC IN Equity,Sammaan Capital Limited,Cons,Cons,0.03333333
01-04-2018,TATA IN Equity,Tata Steel Ltd.,Cons,Cons,0.03333333
01-04-2018,TATACONS IN Equity,Tata Consumer Products Ltd.,Cons,Cons,0.03333333
01-04-2018,TCS IN Equity,Tata Consultancy Services,Cons,Cons,0.03333333
01-04-2018,TECHM IN Equity,Tech Mahindra Ltd.,Cons,Cons,0.03333333
01-04-2018,TTCH IN Equity,Tata Chemicals Ltd,Cons,Cons,0.03333333
01-04-2018,TVSL IN Equity,TVS Motor Company Ltd.,Cons,Cons,0.03333333
01-04-2018,VOLT IN Equity,Voltas Ltd.,Cons,Cons,0.03333333
01-04-2018,WPRO IN Equity,WIPRO Ltd.,Cons,Cons,0.03333333
01-07-2018,AL IN Equity,Ashok Leyland Ltd.,Cons,Cons,0.03333333
01-07-2018,APTY IN Equity,Apollo Tyres Ltd.,Cons,Cons,0.03333333
01-07-2018,BJFIN IN Equity,Bajaj Finserv Ltd,Cons,Cons,0.03333333
01-07-2018,BJHI IN Equity,Bajaj Holdings & Investment Ltd.,Cons,Cons,0.03333333
01-07-2018,BOOT IN Equity,Abbott India Ltd.,Cons,Cons,0.03333333
01-07-2018,COAL IN Equity,Coal India Ltd.,Cons,Cons,0.03333333
01-07-2018,DIVI IN Equity,DIVIS laboratories Ltd.,Cons,Cons,0.03333333
01-07-2018,GAIL IN Equity,GAIL (India) Ltd.,Cons,Cons,0.03333333
01-07-2018,INFO IN Equity,Infosys,Cons,Cons,0.03333333
01-07-2018,JSTL IN Equity,JSW Steel Ltd.,Cons,Cons,0.03333333
01-07-2018,JSW IN Equity,JSW Energy Ltd.,Cons,Cons,0.03333333
01-07-2018,LT IN Equity,Larsen & Toubro Ltd.,Cons,Cons,0.03333333
01-07-2018,MM IN Equity,Mahindra & Mahindra Ltd.,Cons,Cons,0.03333333
01-07-2018,MMFS IN Equity,M&M Financial Services Ltd.,Cons,Cons,0.03333333
01-07-2018,MPHL IN Equity,Mphasis Ltd.,Cons,Cons,0.03333333
01-07-2018,NMDC IN Equity,NMDC Ltd.,Cons,Cons,0.03333333
01-07-2018,NTPC IN Equity,NTPC Limited,Cons,Cons,0.03333333
01-07-2018,OINL IN Equity,Oil India Ltd.,Cons,Cons,0.03333333
01-07-2018,ONGC IN Equity,Oil & Natural Gas Corporation Ltd.,Cons,Cons,0.03333333
01-07-2018,PFIZ IN Equity,Pfizer Ltd.,Cons,Cons,0.03333333
01-07-2018,PHNX IN Equity,Phoenix Mills Ltd.,Cons,Cons,0.03333333
01-07-2018,RELIANCE IN Equity,Reliance Industries Ltd.,Cons,Cons,0.03333333
01-07-2018,SAMMAANC IN Equity,Sammaan Capital Limited,Cons,Cons,0.03333333
01-07-2018,SRF IN Equity,SRF Ltd.,Cons,Cons,0.03333333
01-07-2018,TATA IN Equity,Tata Steel Ltd.,Cons,Cons,0.03333333
01-07-2018,TATACONS IN Equity,Tata Consumer Products Ltd.,Cons,Cons,0.03333333
01-07-2018,TCS IN Equity,Tata Consultancy Services,Cons,Cons,0.03333333
01-07-2018,TECHM IN Equity,Tech Mahindra Ltd.,Cons,Cons,0.03333333
01-07-2018,TTCH IN Equity,Tata Chemicals Ltd,Cons,Cons,0.03333333
01-07-2018,YES IN Equity,YES Bank Ltd.,Cons,Cons,0.03333333
01-10-2018,ARTO IN Equity,Aarti Industries Ltd.,Cons,Cons,0.03333333
01-10-2018,ATLP IN Equity,Atul Ltd.,Cons,Cons,0.03333333
01-10-2018,BOOT IN Equity,Abbott India Ltd.,Cons,Cons,0.03333333
01-10-2018,CUBK IN Equity,City Union Bank Ltd.,Cons,Cons,0.03333333
01-10-2018,DABUR IN Equity,Dabur India Ltd.,Cons,Cons,0.03333333
01-10-2018,EIH IN Equity,EIH Ltd.,Cons,Cons,0.03333333
01-10-2018,EXID IN Equity,Exide Industries Ltd.,Cons,Cons,0.03333333
01-10-2018,GAIL IN Equity,GAIL (India) Ltd.,Cons,Cons,0.03333333
01-10-2018,GCPL IN Equity,Godrej Consumer Products Ltd.,Cons,Cons,0.03333333
01-10-2018,HCLT IN Equity,HCL Technologies Ltd.,Cons,Cons,0.03333333
01-10-2018,ICICIBC IN Equity,ICICI Bank Ltd.,Cons,Cons,0.03333333
01-10-2018,INFO IN Equity,Infosys,Cons,Cons,0.03333333
01-10-2018,IPCA IN Equity,Ipca Laboratories,Cons,Cons,0.03333333
01-10-2018,JSTL IN Equity,JSW Steel Ltd.,Cons,Cons,0.03333333
01-10-2018,LT IN Equity,Larsen & Toubro Ltd.,Cons,Cons,0.03333333
01-10-2018,MM IN Equity,Mahindra & Mahindra Ltd.,Cons,Cons,0.03333333
01-10-2018,MMFS IN Equity,M&M Financial Services Ltd.,Cons,Cons,0.03333333
01-10-2018,MPHL IN Equity,Mphasis Ltd.,Cons,Cons,0.03333333
01-10-2018,NTPC IN Equity,NTPC Limited,Cons,Cons,0.03333333
01-10-2018,ONGC IN Equity,Oil & Natural Gas Corporation Ltd.,Cons,Cons,0.03333333
01-10-2018,PFIZ IN Equity,Pfizer Ltd.,Cons,Cons,0.03333333
01-10-2018,PIEL IN Equity,Piramal Enterprises Ltd.,Cons,Cons,0.03333333
01-10-2018,PLNG IN Equity,Petronet LNG Ltd.,Cons,Cons,0.03333333
01-10-2018,RELIANCE IN Equity,Reliance Industries Ltd.,Cons,Cons,0.03333333
01-10-2018,SANL IN Equity,Sanofi India Ltd.,Cons,Cons,0.03333333
01-10-2018,SRF IN Equity,SRF Ltd.,Cons,Cons,0.03333333
01-10-2018,TATACONS IN Equity,Tata Consumer Products Ltd.,Cons,Cons,0.03333333
01-10-2018,TCS IN Equity,Tata Consultancy Services,Cons,Cons,0.03333333
01-10-2018,TECHM IN Equity,Tech Mahindra Ltd.,Cons,Cons,0.03333333
01-10-2018,TTCH IN Equity,Tata Chemicals Ltd,Cons,Cons,0.03333333
01-01-2019,AL IN Equity,Ashok Leyland Ltd.,Cons,Cons,0.03333333
01-01-2019,ALPM IN Equity,Alembic Pharmaceuticals Limited,Cons,Cons,0.03333333
01-01-2019,ARBP IN Equity,Aurobindo Pharma Ltd.,Cons,Cons,0.03333333
01-01-2019,ATLP IN Equity,Atul Ltd.,Cons,Cons,0.03333333
01-01-2019,BJHI IN Equity,Bajaj Holdings & Investment Ltd.,Cons,Cons,0.03333333
01-01-2019,BOOT IN Equity,Abbott India Ltd.,Cons,Cons,0.03333333
01-01-2019,DRRD IN Equity,Dr. Reddy's Laboratories Ltd.,Cons,Cons,0.03333333
01-01-2019,EIH IN Equity,EIH Ltd.,Cons,Cons,0.03333333
01-01-2019,EXID IN Equity,Exide Industries Ltd.,Cons,Cons,0.03333333
01-01-2019,GAIL IN Equity,GAIL (India) Ltd.,Cons,Cons,0.03333333
01-01-2019,GNP IN Equity,Glenmark Pharmaceuticals Ltd,Cons,Cons,0.03333333
01-01-2019,HCLT IN Equity,HCL Technologies Ltd.,Cons,Cons,0.03333333
01-01-2019,HDFC IN Equity,Housing Development Finance Corp Ltd,Cons,Cons,0.03333333
01-01-2019,ICICIBC IN Equity,ICICI Bank Ltd.,Cons,Cons,0.03333333
01-01-2019,INFO IN Equity,Infosys,Cons,Cons,0.03333333
01-01-2019,IPCA IN Equity,Ipca Laboratories,Cons,Cons,0.03333333
01-01-2019,JSTL IN Equity,JSW Steel Ltd.,Cons,Cons,0.03333333
01-01-2019,LPC IN Equity,Lupin Ltd.,Cons,Cons,0.03333333
01-01-2019,LT IN Equity,Larsen & Toubro Ltd.,Cons,Cons,0.03333333
01-01-2019,MM IN Equity,Mahindra & Mahindra Ltd.,Cons,Cons,0.03333333
01-01-2019,MPHL IN Equity,Mphasis Ltd.,Cons,Cons,0.03333333
01-01-2019,MUTH IN Equity,Muthoot Finance Ltd.,Cons,Cons,0.03333333
01-01-2019,PFIZ IN Equity,Pfizer Ltd.,Cons,Cons,0.03333333
01-01-2019,RELIANCE IN Equity,Reliance Industries Ltd.,Cons,Cons,0.03333333
01-01-2019,SANL IN Equity,Sanofi India Ltd.,Cons,Cons,0.03333333
01-01-2019,TCS IN Equity,Tata Consultancy Services,Cons,Cons,0.03333333
01-01-2019,TECHM IN Equity,Tech Mahindra Ltd.,Cons,Cons,0.03333333
01-01-2019,TPW IN Equity,Torrent Power Ltd.,Cons,Cons,0.03333333
01-01-2019,TTCH IN Equity,Tata Chemicals Ltd,Cons,Cons,0.03333333
01-01-2019,UPLL IN Equity,UPL Ltd.,Cons,Cons,0.03333333
01-04-2019,ARBP IN Equity,Aurobindo Pharma Ltd.,Cons,Cons,0.03333333
01-04-2019,ATLP IN Equity,Atul Ltd.,Cons,Cons,0.03333333
01-04-2019,AXSB IN Equity,Axis Bank Ltd.,Cons,Cons,0.03333333
01-04-2019,BJAUT IN Equity,Bajaj Auto Ltd.,Cons,Cons,0.03333333
01-04-2019,BJHI IN Equity,Bajaj Holdings & Investment Ltd.,Cons,Cons,0.03333333
01-04-2019,BOOT IN Equity,Abbott India Ltd.,Cons,Cons,0.03333333
01-04-2019,DABUR IN Equity,Dabur India Ltd.,Cons,Cons,0.03333333
01-04-2019,DRRD IN Equity,Dr. Reddy's Laboratories Ltd.,Cons,Cons,0.03333333
01-04-2019,EXID IN Equity,Exide Industries Ltd.,Cons,Cons,0.03333333
01-04-2019,GAIL IN Equity,GAIL (India) Ltd.,Cons,Cons,0.03333333
01-04-2019,GNP IN Equity,Glenmark Pharmaceuticals Ltd,Cons,Cons,0.03333333
01-04-2019,HCLT IN Equity,HCL Technologies Ltd.,Cons,Cons,0.03333333
01-04-2019,ICICIBC IN Equity,ICICI Bank Ltd.,Cons,Cons,0.03333333
